pollutant,year,mean,median,p25,p75
CO,2010,1184.2632299524685,1174.7481652770414,1102.8491512182813,1215.0695466391987
CO,2011,1014.7618152561788,977.3152589347734,941.8868764523963,1058.9331195654158
CO,2012,1006.2763200131798,988.874931032556,890.0672316963384,1084.5715964516976
CO,2013,1052.2650489916361,1035.5954957357017,970.9828415125698,1124.5793815181523
CO,2014,920.9123633708714,891.1337221797625,860.1441648506325,934.9211169565688
CO,2015,900.8462721789143,884.3320791176711,818.4133401578569,961.1285638257772
CO,2016,1096.0137816361253,1065.4273347389967,1016.2299406780916,1134.6389729654659
CO,2017,1044.9233350680215,1032.6792465456083,975.9994645672402,1087.3430016298992
CO,2018,950.8941647468095,944.8860187459346,875.8439556863055,1025.9261601420121
CO,2019,906.2749221416649,918.1806397186404,822.3704328709218,967.6376291118877
CO,2020,761.5425706588466,761.5095232396276,690.4515818191566,808.8329042511909
CO,2021,761.4315377108156,722.7031056278514,635.9322171546256,811.2755012172877
CO,2022,727.8312203776435,750.265414202697,661.5466833909688,802.4569750553267
CO,2023,652.0296893025371,657.174923187517,568.2568126247988,713.9335867916984
CO,2024,598.0572892794905,586.5616818667462,518.0160287808154,659.1196822541558
NO2,2010,39.17019895192449,40.527135805873414,36.76466780656748,42.76884200784981
NO2,2013,27.889149174417987,28.414715576952332,25.507009550160504,30.14540248206044
NO2,2014,32.15871710675148,32.45428944293601,31.109169049591102,33.51297902817639
NO2,2015,34.41104367786196,33.29374607990463,31.915029135481532,36.28347105255588
NO2,2016,27.797468053214544,28.369575140520706,26.684276150729065,30.086670836736907
NO2,2017,24.826952544303833,25.63927208203332,24.26044805615916,26.87167891716021
NO2,2018,34.77193393232058,34.883879212666336,30.729278967094267,37.87818279466831
NO2,2019,31.753275025550703,30.501478175390005,29.658821039694274,33.09127251382779
NO2,2020,28.952939538199896,28.08216460802132,26.955597131774503,30.080111692137713
NO2,2021,27.24966780540898,27.20425214948192,24.055022279470258,31.71322510115896
NO2,2022,29.735148063013767,28.660897356189285,26.97185569177836,32.21773426697315
NO2,2023,27.906605305241545,26.771917209832292,24.336895980904885,30.763606228578876
NO2,2024,28.460184749279268,26.921177698283937,24.635241717891613,31.859948787237137
O3,2010,101.36354222177918,99.73031851141742,93.86497895147868,109.37144196267676
O3,2011,78.4235019282977,75.71604435752977,70.85470699406224,88.03304670429048
O3,2012,75.50348339502487,73.52931048229756,68.13279036528984,82.98154708141331
O3,2013,65.16947135216198,64.38318804725625,62.21294602495743,66.86902845404373
O3,2014,68.23270539669163,65.8146412938122,61.682278323511696,75.68155352003964
O3,2015,75.7515728905474,75.83020497558732,69.30440481651479,80.43061448339395
O3,2016,86.90922191431154,84.31856782531536,78.11358348485248,97.39056457543668
O3,2017,61.06818405447057,60.15954199959589,57.25109729742809,65.02089165307318
O3,2018,68.62266574490637,68.17799791443805,65.92855942448145,70.01649207486375
O3,2019,79.7101913530439,82.18114313049085,69.6846408360041,88.1874045645825
O3,2020,89.06144531766888,89.6375370588071,79.75835318617771,96.13246499575767
O3,2021,80.79734141307851,80.46767039545094,77.93747970432086,81.75703188275642
O3,2022,79.09817987736933,78.99402039459193,75.8922990811399,83.15900752832857
O3,2023,83.69625432934076,84.75379568234608,82.18087710584773,87.65248049014889
O3,2024,89.07984385700256,89.23239406076266,82.6979502499899,94.9757090058264
PM10,2010,57.70579164618267,56.630222857635346,49.49855273525988,61.434403362427155
PM10,2011,50.330782332929246,46.77372978521139,43.571614582746165,54.0236683691845
