pollutant,year,HH,HL,LH,LL,NS,total
CO,2010,75,0,0,186,364,625
CO,2011,115,0,0,136,374,625
CO,2012,131,0,0,187,307,625
CO,2013,146,0,0,173,306,625
CO,2014,105,0,0,156,364,625
CO,2015,116,0,0,142,367,625
CO,2016,94,0,0,171,360,625
CO,2017,109,0,0,130,386,625
CO,2018,129,0,0,127,369,625
CO,2019,142,0,0,170,313,625
CO,2020,123,0,0,180,322,625
CO,2021,99,0,0,157,369,625
CO,2022,156,0,0,141,328,625
CO,2023,134,0,0,163,328,625
CO,2024,130,0,0,185,310,625
NO2,2010,181,0,0,134,310,625
NO2,2013,140,0,0,150,335,625
NO2,2014,140,0,0,111,374,625
NO2,2015,123,0,0,191,311,625
NO2,2016,191,0,0,97,337,625
NO2,2017,209,0,0,79,337,625
NO2,2018,149,0,0,191,285,625
NO2,2019,133,0,0,204,288,625
NO2,2020,116,0,0,153,356,625
NO2,2021,190,0,0,145,290,625
NO2,2022,133,0,0,152,340,625
NO2,2023,140,0,0,211,274,625
NO2,2024,134,0,0,215,276,625
O3,2010,186,0,0,171,268,625
O3,2011,184,0,0,166,275,625
O3,2012,182,0,0,224,219,625
O3,2013,110,0,0,152,363,625
O3,2014,192,0,0,206,227,625
O3,2015,114,0,0,181,330,625
O3,2016,189,0,0,193,243,625
O3,2017,124,0,0,101,400,625
O3,2018,94,0,0,144,387,625
O3,2019,191,0,0,198,236,625
O3,2020,150,0,0,189,286,625
O3,2021,71,0,0,142,412,625
O3,2022,125,0,0,82,418,625
O3,2023,137,0,0,97,391,625
O3,2024,147,1,0,158,319,625
PM10,2010,113,0,0,186,326,625
PM10,2011,122,0,0,198,305,625
PM10,2012,114,0,0,190,321,625
PM10,2013,104,0,0,181,340,625
PM10,2014,159,0,0,206,260,625
PM10,2015,122,0,0,203,300,625
PM10,2016,130,0,0,156,339,625
PM10,2017,122,0,0,158,345,625
PM10,2018,124,0,0,196,305,625
PM10,2019,143,0,0,212,270,625
PM10,2020,119,0,0,167,339,625
PM10,2021,117,0,0,170,338,625
PM10,2022,164,0,0,219,242,625
PM10,2023,135,0,0,233,257,625
PM10,2024,115,0,0,224,286,625
PM2.5,2010,125,0,0,155,345,625
PM2.5,2011,131,0,0,164,330,625
PM2.5,2012,121,0,0,151,353,625
PM2.5,2013,115,0,0,166,344,625
PM2.5,2014,133,0,0,221,271,625
PM2.5,2015,131,0,0,169,325,625
PM2.5,2016,123,0,0,164,338,625
PM2.5,2017,148,0,0,156,321,625
PM2.5,2018,132,0,1,178,314,625
PM2.5,2019,106,1,3,155,360,625
PM2.5,2020,118,0,4,164,339,625
PM2.5,2021,109,0,4,158,354,625
PM2.5,2022,164,0,0,158,303,625
PM2.5,2023,137,0,0,185,303,625
PM2.5,2024,121,0,0,194,310,625
SO2,2011,139,0,0,221,265,625
SO2,2012,144,0,0,221,260,625
SO2,2014,106,0,0,131,388,625
SO2,2015,101,0,0,133,391,625
SO2,2016,126,0,0,119,380,625
SO2,2017,134,0,0,233,258,625
SO2,2018,95,0,0,168,362,625
SO2,2019,94,0,0,166,365,625
SO2,2020,101,0,0,176,348,625
SO2,2021,141,0,0,239,245,625
SO2,2022,150,0,0,185,290,625
SO2,2023,166,0,0,227,232,625
SO2,2024,131,0,0,213,281,625
eBC,2021,165,0,0,170,290,625
eBC,2022,134,0,0,161,330,625
eBC,2023,120,0,0,176,329,625
