localidad,pollutant,year,HH,HL,LH,LL,NS
ANTONIO NARIÑO,CO,2010,0,0,0,3,0
ANTONIO NARIÑO,CO,2011,0,0,0,1,2
ANTONIO NARIÑO,CO,2012,0,0,0,1,2
ANTONIO NARIÑO,CO,2013,2,0,0,0,1
ANTONIO NARIÑO,CO,2014,0,0,0,0,3
ANTONIO NARIÑO,CO,2015,0,0,0,1,2
ANTONIO NARIÑO,CO,2016,0,0,0,2,1
ANTONIO NARIÑO,CO,2017,0,0,0,0,3
ANTONIO NARIÑO,CO,2018,2,0,0,0,1
ANTONIO NARIÑO,CO,2019,2,0,0,0,1
ANTONIO NARIÑO,CO,2020,2,0,0,0,1
ANTONIO NARIÑO,CO,2021,0,0,0,0,3
ANTONIO NARIÑO,CO,2022,2,0,0,0,1
ANTONIO NARIÑO,CO,2023,0,0,0,0,3
ANTONIO NARIÑO,CO,2024,0,0,0,0,3
ANTONIO NARIÑO,NO2,2010,2,0,0,0,1
ANTONIO NARIÑO,NO2,2013,2,0,0,0,1
ANTONIO NARIÑO,NO2,2014,2,0,0,0,1
ANTONIO NARIÑO,NO2,2015,0,0,0,1,2
ANTONIO NARIÑO,NO2,2016,2,0,0,0,1
ANTONIO NARIÑO,NO2,2017,3,0,0,0,0
ANTONIO NARIÑO,NO2,2018,2,0,0,0,1
ANTONIO NARIÑO,NO2,2019,0,0,0,1,2
ANTONIO NARIÑO,NO2,2020,0,0,0,0,3
ANTONIO NARIÑO,NO2,2021,0,0,0,0,3
ANTONIO NARIÑO,NO2,2022,0,0,0,0,3
ANTONIO NARIÑO,NO2,2023,0,0,0,0,3
ANTONIO NARIÑO,NO2,2024,0,0,0,0,3
ANTONIO NARIÑO,O3,2010,0,0,0,2,1
ANTONIO NARIÑO,O3,2011,0,0,0,3,0
ANTONIO NARIÑO,O3,2012,0,0,0,3,0
ANTONIO NARIÑO,O3,2013,0,0,0,2,1
ANTONIO NARIÑO,O3,2014,0,0,0,3,0
ANTONIO NARIÑO,O3,2015,0,0,0,2,1
ANTONIO NARIÑO,O3,2016,0,0,0,3,0
ANTONIO NARIÑO,O3,2017,0,0,0,0,3
ANTONIO NARIÑO,O3,2018,0,0,0,2,1
ANTONIO NARIÑO,O3,2019,0,0,0,3,0
ANTONIO NARIÑO,O3,2020,0,0,0,3,0
ANTONIO NARIÑO,O3,2021,0,0,0,0,3
ANTONIO NARIÑO,O3,2022,0,0,0,0,3
ANTONIO NARIÑO,O3,2023,0,0,0,0,3
ANTONIO NARIÑO,O3,2024,0,0,0,1,2
ANTONIO NARIÑO,PM10,2010,0,0,0,0,3
ANTONIO NARIÑO,PM10,2011,0,0,0,0,3
ANTONIO NARIÑO,PM10,2012,0,0,0,1,2
ANTONIO NARIÑO,PM10,2013,0,0,0,1,2
ANTONIO NARIÑO,PM10,2014,2,0,0,0,1
ANTONIO NARIÑO,PM10,2015,0,0,0,1,2
ANTONIO NARIÑO,PM10,2016,0,0,0,1,2
ANTONIO NARIÑO,PM10,2017,0,0,0,1,2
ANTONIO NARIÑO,PM10,2018,0,0,0,1,2
ANTONIO NARIÑO,PM10,2019,0,0,0,0,3
ANTONIO NARIÑO,PM10,2020,0,0,0,0,3
ANTONIO NARIÑO,PM10,2021,0,0,0,1,2
ANTONIO NARIÑO,PM10,2022,0,0,0,0,3
ANTONIO NARIÑO,PM10,2023,0,0,0,1,2
ANTONIO NARIÑO,PM10,2024,0,0,0,1,2
ANTONIO NARIÑO,PM2.5,2010,0,0,0,0,3
ANTONIO NARIÑO,PM2.5,2011,0,0,0,0,3
ANTONIO NARIÑO,PM2.5,2012,0,0,0,0,3
ANTONIO NARIÑO,PM2.5,2013,0,0,0,0,3
ANTONIO NARIÑO,PM2.5,2014,0,0,0,1,2
ANTONIO NARIÑO,PM2.5,2015,0,0,0,1,2
ANTONIO NARIÑO,PM2.5,2016,0,0,0,1,2
ANTONIO NARIÑO,PM2.5,2017,2,0,0,1,0
ANTONIO NARIÑO,PM2.5,2018,2,0,0,1,0
ANTONIO NARIÑO,PM2.5,2019,0,0,0,1,2
ANTONIO NARIÑO,PM2.5,2020,0,0,0,1,2
ANTONIO NARIÑO,PM2.5,2021,0,0,0,0,3
ANTONIO NARIÑO,PM2.5,2022,2,0,0,0,1
ANTONIO NARIÑO,PM2.5,2023,0,0,0,0,3
ANTONIO NARIÑO,PM2.5,2024,0,0,0,1,2
ANTONIO NARIÑO,SO2,2011,2,0,0,0,1
ANTONIO NARIÑO,SO2,2012,2,0,0,0,1
ANTONIO NARIÑO,SO2,2014,0,0,0,3,0
ANTONIO NARIÑO,SO2,2015,0,0,0,3,0
ANTONIO NARIÑO,SO2,2016,0,0,0,0,3
ANTONIO NARIÑO,SO2,2017,2,0,0,0,1
ANTONIO NARIÑO,SO2,2018,0,0,0,0,3
ANTONIO NARIÑO,SO2,2019,0,0,0,0,3
ANTONIO NARIÑO,SO2,2020,0,0,0,0,3
ANTONIO NARIÑO,SO2,2021,0,0,0,0,3
ANTONIO NARIÑO,SO2,2022,0,0,0,0,3
ANTONIO NARIÑO,SO2,2023,0,0,0,0,3
ANTONIO NARIÑO,SO2,2024,0,0,0,0,3
ANTONIO NARIÑO,eBC,2021,0,0,0,1,2
ANTONIO NARIÑO,eBC,2022,0,0,0,1,2
ANTONIO NARIÑO,eBC,2023,0,0,0,1,2
BARRIOS UNIDOS,CO,2010,0,0,0,0,25
BARRIOS UNIDOS,CO,2011,0,0,0,0,25
BARRIOS UNIDOS,CO,2012,0,0,0,25,0
BARRIOS UNIDOS,CO,2013,0,0,0,25,0
BARRIOS UNIDOS,CO,2014,0,0,0,25,0
BARRIOS UNIDOS,CO,2015,8,0,0,0,17
BARRIOS UNIDOS,CO,2016,8,0,0,3,14
BARRIOS UNIDOS,CO,2017,0,0,0,13,12
BARRIOS UNIDOS,CO,2018,0,0,0,2,23
BARRIOS UNIDOS,CO,2019,5,0,0,0,20
BARRIOS UNIDOS,CO,2020,0,0,0,25,0
BARRIOS UNIDOS,CO,2021,0,0,0,0,25
BARRIOS UNIDOS,CO,2022,2,0,0,0,23
BARRIOS UNIDOS,CO,2023,0,0,0,0,25
BARRIOS UNIDOS,CO,2024,0,0,0,0,25
BARRIOS UNIDOS,NO2,2010,3,0,0,0,22
BARRIOS UNIDOS,NO2,2013,0,0,0,25,0
BARRIOS UNIDOS,NO2,2014,0,0,0,0,25
BARRIOS UNIDOS,NO2,2015,2,0,0,0,23
BARRIOS UNIDOS,NO2,2016,1,0,0,10,14
BARRIOS UNIDOS,NO2,2017,25,0,0,0,0
BARRIOS UNIDOS,NO2,2018,0,0,0,25,0
BARRIOS UNIDOS,NO2,2019,0,0,0,23,2
BARRIOS UNIDOS,NO2,2020,0,0,0,23,2
BARRIOS UNIDOS,NO2,2021,0,0,0,14,11
BARRIOS UNIDOS,NO2,2022,0,0,0,15,10
BARRIOS UNIDOS,NO2,2023,0,0,0,20,5
BARRIOS UNIDOS,NO2,2024,0,0,0,16,9
BARRIOS UNIDOS,O3,2010,25,0,0,0,0
BARRIOS UNIDOS,O3,2011,19,0,0,0,6
BARRIOS UNIDOS,O3,2012,25,0,0,0,0
BARRIOS UNIDOS,O3,2013,0,0,0,0,25
BARRIOS UNIDOS,O3,2014,25,0,0,0,0
BARRIOS UNIDOS,O3,2015,4,0,0,2,19
BARRIOS UNIDOS,O3,2016,14,0,0,0,11
BARRIOS UNIDOS,O3,2017,0,0,0,0,25
BARRIOS UNIDOS,O3,2018,0,0,0,2,23
BARRIOS UNIDOS,O3,2019,19,0,0,0,6
BARRIOS UNIDOS,O3,2020,23,0,0,0,2
BARRIOS UNIDOS,O3,2021,0,0,0,1,24
BARRIOS UNIDOS,O3,2022,21,0,0,0,4
