pollutant,year,cluster,total_population,children_0_9,youth_10_19,adults_20_59,older_adults_60_plus,avg_IPM,sector_count
CO,2010,HH,1567341,211601,246353,932831,176556,0.11318562365446723,75
CO,2010,LL,1244784,148460,180623,742190,173511,0.1145806944848647,186
CO,2010,NS,4297283,492615,589934,2626715,588019,0.09010584567063977,364
CO,2011,HH,2039029,264287,309692,1225083,239967,0.1029918758844764,115
CO,2011,LL,1156704,133143,160509,682235,180817,0.12243223435631923,136
CO,2011,NS,3913675,455246,546709,2394418,517302,0.09118879458077153,374
CO,2012,HH,2103667,277177,323611,1249769,253110,0.110327325830551,131
CO,2012,LL,1004876,105134,130400,613659,155683,0.09648218047574358,187
CO,2012,NS,4000865,470365,562899,2438308,529293,0.09805997179028182,307
CO,2013,HH,1911116,249863,293438,1125445,242370,0.114461868223668,146
CO,2013,LL,1383450,123848,153366,856420,249816,0.05333104070025933,173
CO,2013,NS,3814842,478965,570106,2319871,445900,0.11980966003458288,306
CO,2014,HH,2093494,277651,324952,1256280,234611,0.11129100447612361,105
CO,2014,LL,1506222,145904,176041,923549,260728,0.052945585266789705,156
CO,2014,NS,3509692,429121,515917,2121907,442747,0.11718239560651257,364
CO,2015,HH,961826,109627,128493,589309,134397,0.07701898599119235,116
CO,2015,LL,1413295,176783,212539,844581,179392,0.12526382224472393,142
CO,2015,NS,4734287,566266,675878,2867846,624297,0.09775965569115432,367
CO,2016,HH,352197,27391,32164,226739,65903,0.07283870561366672,94
CO,2016,LL,2260184,276014,326890,1355212,302068,0.0985484066069341,171
CO,2016,NS,4497027,549271,657856,2719785,570115,0.10805789698586762,360
CO,2017,HH,1162131,140534,165337,704704,151556,0.09161000168968149,109
CO,2017,LL,1644716,181176,221533,1010424,231583,0.0756699938999602,130
CO,2017,NS,4302561,530966,630040,2586608,554947,0.11082090513267524,386
CO,2018,HH,1537134,199077,234823,906258,196976,0.11110527229614856,129
CO,2018,LL,1707704,175208,209743,1047415,275338,0.06345326122451894,127
CO,2018,NS,3864570,478391,572344,2348063,465772,0.10896562187172272,369
CO,2019,HH,1431852,170052,204259,855251,202290,0.08844192617911442,142
CO,2019,LL,2768250,306148,368616,1710213,383273,0.08090532821886894,170
CO,2019,NS,2909306,376476,444035,1736272,352523,0.11593226663814947,313
CO,2020,HH,1789679,231375,271070,1058752,228482,0.10446538785687512,123
CO,2020,LL,1515056,142331,170634,933938,268153,0.054657235731471035,180
CO,2020,NS,3804673,478970,575206,2309046,441451,0.12395004234261592,322
CO,2021,HH,1577661,193435,229422,954630,200174,0.08777812447906463,99
CO,2021,LL,2478509,294244,349271,1503608,331386,0.10665329069418424,157
CO,2021,NS,3053238,364997,438217,1843498,406526,0.10071777184273285,369
CO,2022,HH,1688907,195289,234829,1030165,228624,0.08561184255690428,156
CO,2022,LL,2185020,260971,311720,1325559,286770,0.11459388542091369,141
CO,2022,NS,3235481,396416,470361,1946012,422692,0.10087278502791723,328
CO,2023,HH,2161732,273829,321285,1311824,254794,0.0936561310458184,134
CO,2023,LL,2381224,280521,335926,1446146,318631,0.10961936153553556,163
CO,2023,NS,2566452,298326,359699,1543766,364661,0.09811457707911826,328
CO,2024,HH,1999779,253889,297788,1217670,230432,0.10073437531942513,130
CO,2024,LL,2784775,342776,407269,1679256,355474,0.11790490201066076,185
CO,2024,NS,2324854,256011,311853,1404810,352180,0.08932768744801692,310
NO2,2010,HH,1721114,191583,231328,1046237,251966,0.08087402674225254,181
NO2,2010,LL,2213461,240305,288387,1361148,323621,0.07105936158717564,134
NO2,2010,NS,3174833,420788,497195,1894351,362499,0.12399775961081777,310
NO2,2013,HH,2026400,251541,296723,1230693,247443,0.0934988895345664,140
NO2,2013,LL,1087776,96820,116647,669520,204789,0.0504390801196783,150
NO2,2013,NS,3995232,504315,603540,2401523,485854,0.1252052305062439,335
NO2,2014,HH,1279215,138351,167829,782802,190233,0.08099747360489201,140
NO2,2014,LL,1794655,191462,231199,1102316,269678,0.06977920469223486,111
NO2,2014,NS,4035538,522863,617882,2416618,478175,0.11634845119481228,374
NO2,2015,HH,2344034,298971,351020,1410990,283053,0.09482580836752566,123
NO2,2015,LL,1452691,174937,213068,871223,193463,0.12024911710786611,191
NO2,2015,NS,3312683,378768,452822,2019523,461570,0.08993023464815006,311
NO2,2016,HH,2551620,308700,368243,1541946,332731,0.09422486738175878,191
NO2,2016,LL,368954,28955,33683,236961,69355,0.07100375317636264,97
NO2,2016,NS,4188834,515021,614984,2522829,536000,0.1119143769862304,337
NO2,2017,HH,1113170,115745,144259,680760,172406,0.08647412237619584,209
NO2,2017,LL,1856007,245898,289944,1123101,197064,0.11086796172528697,79
NO2,2017,NS,4140231,491033,582707,2497875,568616,0.10613589976100936,337
NO2,2018,HH,2226313,289913,340230,1321859,274311,0.10607625166895078,149
NO2,2018,LL,2229793,230284,278584,1369468,351457,0.06277144232689288,191
NO2,2018,NS,2653302,332479,398096,1610409,312318,0.12212193610271067,285
NO2,2019,HH,2662197,342360,404750,1615909,299178,0.10721918426198557,133
NO2,2019,LL,1430009,164574,198581,865721,201133,0.09554656787985517,204
NO2,2019,NS,3017202,345742,413579,1820106,437775,0.10016599797933408,288
NO2,2020,HH,2118687,274849,322606,1272927,248305,0.10043451873465248,116
NO2,2020,LL,1471351,141627,173465,913681,242578,0.061540002446074916,153
NO2,2020,NS,3519370,436200,520839,2115128,447203,0.11666695006998201,356
NO2,2021,HH,3474013,427256,505304,2115768,425685,0.08923555908906322,190
NO2,2021,LL,811017,74400,88558,505733,142326,0.07772290920651674,145
NO2,2021,NS,2824378,351020,423048,1680235,370075,0.11853407141557176,290
NO2,2022,HH,2126548,258815,308869,1299062,259802,0.098973186587072,133
NO2,2022,LL,1120425,118158,141535,679549,181183,0.08818043835395947,152
NO2,2022,NS,3862435,475703,566506,2323125,497101,0.1059782303720598,340
NO2,2023,HH,2400926,289710,345818,1467676,297722,0.09718458517177905,140
NO2,2023,LL,1811857,223259,262506,1072249,253843,0.11174502078774261,211
NO2,2023,NS,2896625,339707,408586,1761811,386521,0.09275699803693428,274
NO2,2024,HH,2255730,273166,326432,1379027,277105,0.09711398832094346,134
NO2,2024,LL,1782556,215608,254289,1058847,253812,0.10952447591080648,215
NO2,2024,NS,3071122,363902,436189,1863862,407169,0.09434210875562657,276
O3,2010,HH,2030438,205516,247198,1247039,330685,0.061510894194295236,186
O3,2010,LL,2395980,310092,364863,1422144,298881,0.1044381353686548,171
O3,2010,NS,2682990,337068,404849,1632553,308520,0.12425190785150697,268
O3,2011,HH,2395759,251071,303896,1470263,370529,0.06057511366110414,184
O3,2011,LL,1394752,165796,203683,831828,193445,0.11496270010710453,166
O3,2011,NS,3318897,435809,509331,1999645,374112,0.11770847142167358,275
O3,2012,HH,2192591,227763,276453,1357577,330798,0.056969716566220616,182
O3,2012,LL,2707444,348618,413086,1603704,342036,0.11268230728588899,224
O3,2012,NS,2209373,276295,327371,1340455,265252,0.12324261883694733,219
O3,2013,HH,1991555,222022,268574,1227077,273882,0.07669454089191806,110
O3,2013,LL,1756190,204726,245271,1063221,242972,0.08490765963533581,152
O3,2013,NS,3361663,425928,503065,2011438,421232,0.11365590911763283,363
O3,2014,HH,2145324,218401,264962,1316369,345592,0.06169396764072869,192
O3,2014,LL,2178291,269972,321542,1294125,292652,0.10356450517623238,206
O3,2014,NS,2785793,364303,430406,1691242,299842,0.1296032110971761,227
O3,2015,HH,1591751,168507,201421,973465,248358,0.0625775325679531,114
O3,2015,LL,1397961,165155,196289,845441,191076,0.09033483774463938,181
O3,2015,NS,4119696,519014,619200,2482830,498652,0.11853034675107992,330
O3,2016,HH,2868896,315605,381144,1760183,411964,0.06863934419445543,189
O3,2016,LL,1522861,182775,218170,913850,208066,0.09921327648507698,193
O3,2016,NS,2717651,354296,417596,1627703,318056,0.12542576279016798,243
O3,2017,HH,1686838,179757,218609,1050509,237963,0.07715749156958791,124
O3,2017,LL,2068792,267937,316208,1250559,234088,0.10382847933109388,101
O3,2017,NS,3353778,404982,482093,2000668,466035,0.10636313351328341,400
O3,2018,HH,1799118,201600,242849,1109621,245048,0.07973681520195736,94
O3,2018,LL,2016738,253242,298773,1205175,259548,0.0989240954676271,144
O3,2018,NS,3293552,397834,475288,1986940,433490,0.10557914314227508,387
O3,2019,HH,1980512,210821,252461,1225529,291701,0.07175791681149861,191
O3,2019,LL,1906183,241373,288835,1127462,248513,0.11396670013276389,198
O3,2019,NS,3222713,400482,475614,1948745,397872,0.11156055099618334,236
O3,2020,HH,1936289,239220,284107,1184125,228837,0.08146179779139678,150
O3,2020,LL,1497113,183803,222954,885942,204414,0.11403364523152275,189
O3,2020,NS,3676006,429653,509849,2231669,504835,0.10079660893327075,286
O3,2021,HH,1638521,219742,258083,994202,166494,0.1206196346893029,71
O3,2021,LL,1849279,194239,232698,1130654,291688,0.06875066822831231,142
O3,2021,NS,3621608,438695,526129,2176880,479904,0.10745842189568422,412
O3,2022,HH,1069991,105509,129136,657769,177577,0.06649812893296765,125
O3,2022,LL,1405954,160529,195558,864092,185775,0.08631388036828049,82
O3,2022,NS,4633463,586638,692216,2779875,574734,0.1129412786257483,418
O3,2023,HH,1522925,188661,219108,924874,190282,0.07684836592219077,137
O3,2023,LL,1812446,202697,244857,1121145,243747,0.07986692923649785,97
O3,2023,NS,3774037,461318,552945,2255717,504057,0.11336097315882947,391
O3,2024,HH,1153769,109887,131958,712456,199468,0.05666553027447715,147
O3,2024,HL,41546,5467,6249,25826,4004,0.0912578616352201,1
O3,2024,LL,1928139,226062,274216,1172467,255394,0.10854536010084427,158
O3,2024,NS,3985954,511260,604487,2390987,479220,0.11607586540584952,319
PM10,2010,HH,2270460,299264,352980,1367500,250716,0.11039684954206787,113
PM10,2010,LL,1482545,136212,165160,914517,266656,0.05830108031521558,186
PM10,2010,NS,3356403,417200,498770,2019719,420714,0.12049268047699074,326
PM10,2011,HH,2378264,312821,368141,1433291,264011,0.1100411831371466,122
PM10,2011,LL,1391511,135342,163508,855859,236802,0.07811729148230423,198
PM10,2011,NS,3339633,404513,485261,2012586,437273,0.11051544497099877,305
PM10,2012,HH,2246192,295241,347426,1357409,246116,0.11063511634817187,114
PM10,2012,LL,1505235,160251,197721,909691,237572,0.10097636133032026,190
PM10,2012,NS,3357981,397184,471763,2034636,454398,0.0959549746290664,321
PM10,2013,HH,2161849,287182,337721,1301091,235855,0.11436787797433513,104
PM10,2013,LL,1432221,145392,177816,858972,250041,0.0834862019998038,181
PM10,2013,NS,3515338,420102,501373,2141673,452190,0.10468881441496296,340
PM10,2014,HH,2601472,345961,402054,1554864,298593,0.11250012408788175,159
PM10,2014,LL,1625223,154611,185446,997258,287908,0.06334398196961173,206
PM10,2014,NS,2882713,352104,429410,1749614,351585,0.12178107214103667,260
PM10,2015,HH,2257705,297387,347365,1359126,253827,0.10990336442584166,122
PM10,2015,LL,1589817,166679,202450,960563,260125,0.09758064023018428,203
PM10,2015,NS,3261886,388610,467095,1982047,424134,0.0979412611523422,300
PM10,2016,HH,2344282,311951,362484,1405169,264678,0.11464306555615442,130
PM10,2016,LL,994340,114025,141966,600292,138057,0.11747309317616789,156
PM10,2016,NS,3770786,426700,512460,2296275,535351,0.08663733839115188,339
PM10,2017,HH,2465281,320402,377283,1489997,277599,0.1098034069490159,122
PM10,2017,LL,1008175,114428,143052,609634,141061,0.11560723732688333,158
PM10,2017,NS,3635952,417846,496575,2202105,519426,0.08967391196218912,345
PM10,2018,HH,2398381,314820,368100,1444467,270994,0.11049924208044777,124
PM10,2018,LL,1024505,107537,132321,627475,157172,0.09704682558018678,196
PM10,2018,NS,3686522,430319,516489,2229794,509920,0.09795532767439546,305
PM10,2019,HH,2858880,370534,435725,1732704,319917,0.10711216915159913,143
PM10,2019,LL,1455587,147046,176733,886582,245226,0.08445133142265425,212
PM10,2019,NS,2794941,335096,404452,1682450,372943,0.10881013452630141,270
