localidad,pollutant,year,cluster,total_population,children_0_9,older_adults_60_plus,avg_IPM,sector_count
ANTONIO NARIÑO,CO,2010,LL,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,CO,2011,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2011,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2012,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2012,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2013,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2013,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2014,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,CO,2015,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2015,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2016,LL,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2016,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2017,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,CO,2018,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2018,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2019,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2019,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2020,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2020,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2021,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,CO,2022,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,CO,2022,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,CO,2023,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,CO,2024,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,NO2,2010,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,NO2,2010,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,NO2,2013,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,NO2,2013,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,NO2,2014,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,NO2,2014,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,NO2,2015,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,NO2,2015,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,NO2,2016,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,NO2,2016,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,NO2,2017,HH,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,NO2,2018,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,NO2,2018,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,NO2,2019,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,NO2,2019,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,NO2,2020,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,NO2,2021,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,NO2,2022,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,NO2,2023,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,NO2,2024,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2010,LL,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,O3,2010,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,O3,2011,LL,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2012,LL,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2013,LL,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,O3,2013,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,O3,2014,LL,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2015,LL,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,O3,2015,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,O3,2016,LL,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2017,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2018,LL,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,O3,2018,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,O3,2019,LL,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2020,LL,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2021,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2022,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2023,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,O3,2024,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,O3,2024,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2010,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM10,2011,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM10,2012,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2012,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2013,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2013,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2014,HH,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2014,NS,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2015,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2015,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2016,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2016,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2017,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2017,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2018,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2018,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2019,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM10,2020,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM10,2021,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2021,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2022,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM10,2023,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2023,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM10,2024,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM10,2024,NS,5170,551,888,0.0780384615384615,2
ANTONIO NARIÑO,PM2.5,2010,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM2.5,2011,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM2.5,2012,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM2.5,2013,NS,6613,657,1141,0.09869230769230768,3
ANTONIO NARIÑO,PM2.5,2014,LL,1443,106,253,0.14,1
ANTONIO NARIÑO,PM2.5,2014,NS,5170,551,888,0.0780384615384615,2
