SETU_CCNCT,pollutant,localidad,HH_years_count,years_as_HH,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000002404,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,11221,1268,1570,0.0975384615384615,3
110011000000002409,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,23618,3103,3085,0.0788590604026845,2
110011000000002410,CO,CIUDAD BOLIVAR,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,17722,1836,2282,0.037471264367816,3
110011000000004401,CO,PUENTE ARANDA,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,10933,1029,1791,0.0479797979797979,3
110011000000004407,CO,PUENTE ARANDA,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,9579,1116,1409,0.0795238095238095,3
110011000000004408,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,4933,496,758,0.0572222222222222,3
110011000000004409,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,7598,731,1306,0.0695918367346938,3
110011000000004410,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,23667,2953,3164,0.0962328767123287,2
110011000000004411,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,15530,1937,1965,0.1190588235294118,3
110011000000004503,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,16540,1475,3162,0.0465765765765765,3
110011000000004504,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,17133,1990,2608,0.0919469026548672,3
110011000000004505,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,17519,1762,2882,0.0658947368421052,3
110011000000004506,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,10339,1097,1686,0.0763095238095238,3
110011000000004512,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,7931,758,1542,0.07,3
110011000000004517,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,46396,6213,5415,0.0937024221453287,2
110011000000004518,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,39111,4275,4837,0.060390243902439,3
110011000000004537,CO,KENNEDY,14,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,12419,1214,2134,0.054625,3
110011000000002402,CO,TUNJUELITO,13,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023,21065,2519,2849,0.1068817204301075,2
110011000000002403,CO,KENNEDY,13,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023,8518,910,1235,0.072391304347826,3
