SETU_CCNCT,pollutant,localidad,LL_years_count,years_as_LL,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000008402,CO,USAQUEN,10,2011;2013;2014;2018;2019;2020;2021;2022;2023;2024,14122,1113,4049,0.0190697674418604,6
110011000000008417,CO,USAQUEN,10,2011;2013;2014;2018;2019;2020;2021;2022;2023;2024,12955,1052,3066,0.0482558139534883,5
110011000000008515,CO,USAQUEN,10,2011;2013;2014;2018;2019;2020;2021;2022;2023;2024,19921,1365,4505,0.0470422535211267,4
110011000000009106,CO,SUBA,10,2011;2013;2014;2018;2019;2020;2021;2022;2023;2024,20237,1630,4174,0.0359223300970873,5
110011000000009107,CO,SUBA,10,2011;2013;2014;2018;2019;2020;2021;2022;2023;2024,14733,1342,2704,0.0421666666666666,3
110011000000009117,CO,SUBA,10,2011;2013;2014;2018;2019;2020;2021;2022;2023;2024,17410,1622,3787,0.0642168674698795,3
110011000000009205,CO,SUBA,10,2013;2014;2017;2018;2019;2020;2021;2022;2023;2024,28616,4218,2943,0.1045967741935484,2
110011000000005636,CO,SUBA,9,2013;2014;2017;2018;2019;2021;2022;2023;2024,58122,4729,9625,0.0304347826086956,3
110011000000008401,CO,USAQUEN,9,2011;2014;2018;2019;2020;2021;2022;2023;2024,9633,818,2295,0.0319047619047619,5
110011000000008404,CO,USAQUEN,9,2011;2014;2018;2019;2020;2021;2022;2023;2024,7324,553,1597,0.0428571428571428,5
110011000000008414,CO,USAQUEN,9,2011;2013;2014;2018;2019;2020;2021;2022;2023,4446,473,854,0.0748648648648648,5
110011000000008415,CO,USAQUEN,9,2011;2013;2014;2018;2019;2020;2021;2022;2023,19359,1148,5977,0.018235294117647,6
110011000000008514,CO,USAQUEN,9,2011;2014;2018;2019;2020;2021;2022;2023;2024,5553,382,1428,0.044054054054054,5
110011000000008530,CO,SUBA,9,2011;2014;2018;2019;2020;2021;2022;2023;2024,5324,349,1553,0.0609803921568627,4
110011000000009108,CO,SUBA,9,2013;2014;2018;2019;2020;2021;2022;2023;2024,24195,2104,4780,0.0490990990990991,5
110011000000009112,CO,SUBA,9,2013;2014;2018;2019;2020;2021;2022;2023;2024,5640,422,1290,0.0272881355932203,6
110011000000001306,CO,USME,8,2010;2011;2012;2015;2021;2022;2023;2024,10521,1419,1173,0.1267676767676768,2
110011000000001311,CO,SAN CRISTOBAL,8,2010;2011;2012;2015;2021;2022;2023;2024,7228,1013,872,0.1290909090909091,2
110011000000001312,CO,SAN CRISTOBAL,8,2010;2011;2012;2015;2021;2022;2023;2024,11931,1721,1072,0.1894623655913979,2
110011000000001315,CO,SAN CRISTOBAL,8,2010;2011;2012;2015;2021;2022;2023;2024,9255,1256,1095,0.1661842105263158,2
110011000000001319,CO,SAN CRISTOBAL,8,2010;2011;2012;2015;2021;2022;2023;2024,11344,1508,1384,0.1517441860465116,2
110011000000001320,CO,USME,8,2010;2011;2012;2015;2021;2022;2023;2024,18207,2644,1892,0.1633571428571429,2
110011000000001326,CO,USME,8,2010;2011;2012;2015;2021;2022;2023;2024,9736,1452,915,0.2113235294117647,2
110011000000001327,CO,SAN CRISTOBAL,8,2010;2011;2012;2015;2021;2022;2023;2024,7870,1100,950,0.1085915492957747,2
110011000000005603,CO,ENGATIVA,8,2012;2013;2014;2015;2016;2017;2019;2020,12730,1455,1720,0.0855737704918032,3
110011000000005622,CO,SUBA,8,2013;2014;2017;2018;2019;2021;2023;2024,35497,3200,6140,0.0688659793814433,3
110011000000005633,CO,ENGATIVA,8,2013;2014;2017;2018;2019;2021;2023;2024,25357,2237,4814,0.0418041237113402,3
110011000000008413,CO,USAQUEN,8,2011;2014;2018;2019;2020;2021;2022;2023,1790,144,290,0.08,5
110011000000008416,CO,USAQUEN,8,2011;2013;2014;2018;2019;2020;2021;2023,10223,792,2587,0.0333333333333333,6
110011000000008502,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,21988,2278,3149,0.0875,4
110011000000008507,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,12158,1152,2043,0.0726666666666666,3
110011000000008508,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,10758,735,2831,0.0272093023255813,4
110011000000008509,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,3188,242,723,0.0225,4
110011000000008510,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,19174,1322,4628,0.0137037037037037,4
110011000000008511,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,6318,468,1593,0.0123076923076923,4
110011000000008512,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,13523,1039,3027,0.0235294117647058,4
110011000000008513,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,13314,1043,2999,0.0203703703703703,5
110011000000008517,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,10311,845,1974,0.0247058823529411,4
