SETU_CCNCT,localidad,total_HH_records,pollutants_HH,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO,score
110011000000004559,KENNEDY,45,CO;NO2;O3;PM10;PM2.5;SO2;eBC,0,0,0,0.86,1,43.8
110011000000004513,KENNEDY,66,CO;NO2;O3;PM10;PM2.5;SO2;eBC,5666,898,498,0.2665217391304348,2,38.091381083196495
110011000000004517,KENNEDY,73,CO;NO2;O3;PM10;PM2.5;SO2;eBC,46396,6213,5415,0.0937024221453287,2,35.7704484726192
110011000000004512,KENNEDY,73,CO;NO2;O3;PM10;PM2.5;SO2;eBC,7931,758,1542,0.07,3,35.65001891312571
110011000000004541,KENNEDY,67,CO;NO2;O3;PM10;PM2.5;SO2;eBC,38115,6231,2696,0.1609545454545455,2,35.14182014954742
110011000000004411,KENNEDY,68,CO;NO2;PM10;PM2.5;SO2;eBC,15530,1937,1965,0.1190588235294118,3,34.54059921972653
110011000000004507,KENNEDY,71,CO;NO2;O3;PM10;PM2.5;SO2;eBC,11906,1296,1954,0.0593827160493827,3,34.276055645768395
110011000000004532,KENNEDY,69,CO;NO2;O3;PM10;PM2.5;SO2;eBC,26015,2987,4227,0.0826506024096385,3,34.23904142420151
110011000000004525,KENNEDY,66,CO;NO2;O3;PM10;PM2.5;SO2;eBC,28724,4072,3324,0.1241242937853107,2,33.98600426266112
110011000000004511,KENNEDY,68,CO;NO2;O3;PM10;PM2.5;SO2;eBC,11010,1148,2159,0.0720238095238095,3,33.86616387699494
110011000000002425,CIUDAD BOLIVAR,49,CO;NO2;PM10;PM2.5;SO2;eBC,11545,2134,668,0.3534579439252337,1,33.844275346773905
110011000000004518,KENNEDY,71,CO;NO2;O3;PM10;PM2.5;SO2;eBC,39111,4275,4837,0.060390243902439,3,33.70637633601925
110011000000004530,KENNEDY,68,CO;NO2;O3;PM10;PM2.5;SO2;eBC,10696,1079,2109,0.0648214285714285,3,33.61547307404638
110011000000004510,KENNEDY,66,CO;NO2;PM10;PM2.5;SO2;eBC,13155,1330,2504,0.085531914893617,3,33.33767922559985
110011000000004504,KENNEDY,66,CO;NO2;PM10;PM2.5;SO2;eBC,17133,1990,2608,0.0919469026548672,3,33.18397177934835
110011000000004410,KENNEDY,66,CO;NO2;PM10;PM2.5;SO2;eBC,23667,2953,3164,0.0962328767123287,2,33.163903527887804
110011000000004505,KENNEDY,68,CO;NO2;PM10;PM2.5;SO2;eBC,17519,1762,2882,0.0658947368421052,3,33.15309645768053
110011000000004506,KENNEDY,67,CO;NO2;PM10;PM2.5;SO2;eBC,10339,1097,1686,0.0763095238095238,3,33.126910242770094
110011000000002416,CIUDAD BOLIVAR,62,CO;NO2;PM10;PM2.5;SO2;eBC,26293,4036,2859,0.1422596153846154,1,33.00134492143273
110011000000002414,BOSA,64,CO;NO2;PM10;PM2.5;SO2;eBC,44663,6200,4361,0.1262333333333333,2,32.93389564068693
110011000000004514,KENNEDY,65,CO;NO2;O3;PM10;PM2.5;SO2;eBC,14929,1517,2810,0.0771212121212121,3,32.661214902051526
110011000000002422,CIUDAD BOLIVAR,56,CO;NO2;PM10;PM2.5;SO2;eBC,11139,1816,720,0.2281578947368421,1,32.65976512112493
110011000000004508,KENNEDY,65,CO;NO2;O3;PM10;PM2.5;SO2;eBC,10552,1180,1618,0.0877966101694915,3,32.6113433392015
110011000000004533,KENNEDY,65,CO;NO2;O3;PM10;PM2.5;SO2;eBC,30378,3463,4725,0.0833898305084745,3,32.54475239105909
110011000000004523,KENNEDY,65,CO;NO2;O3;PM10;PM2.5;SO2;eBC,23135,2893,3249,0.0845454545454545,2,32.51864157023007
110011000000004543,KENNEDY,62,CO;NO2;O3;PM10;PM2.5;SO2;eBC,102780,14932,6603,0.1495774647887324,2,32.43020193548918
110011000000004528,BOSA,60,CO;NO2;O3;PM10;PM2.5;SO2;eBC,69311,10697,6677,0.1554084507042253,2,32.42226275487032
110011000000002409,KENNEDY,65,CO;NO2;PM10;PM2.5;SO2;eBC,23618,3103,3085,0.0788590604026845,2,32.295825161221025
110011000000004521,KENNEDY,64,CO;NO2;O3;PM10;PM2.5;SO2;eBC,32514,4165,4258,0.0936315789473684,2,32.29481191907615
110011000000004540,KENNEDY,67,CO;NO2;O3;PM10;PM2.5;SO2;eBC,4807,492,779,0.0486,2,32.224091117120864
110011000000002421,CIUDAD BOLIVAR,64,CO;NO2;O3;PM10;PM2.5;SO2;eBC,52457,6741,5162,0.1028636363636364,2,32.08955398100955
110011000000004537,KENNEDY,66,CO;NO2;PM10;PM2.5;SO2;eBC,12419,1214,2134,0.054625,3,32.08255384894114
110011000000002428,CIUDAD BOLIVAR,40,CO;NO2;PM10;PM2.5;SO2;eBC,179,32,9,0.42,1,32.035754189944136
110011000000002423,CIUDAD BOLIVAR,54,CO;NO2;PM10;PM2.5;SO2;eBC,8607,1459,571,0.2298,1,32.031818055071454
110011000000002424,CIUDAD BOLIVAR,56,CO;NO2;PM10;PM2.5;SO2;eBC,3809,672,277,0.1942553191489362,1,31.9648609396558
110011000000004509,KENNEDY,66,CO;NO2;PM10;PM2.5;SO2;eBC,16993,1536,3461,0.0370408163265306,3,31.922158403760495
110011000000002404,KENNEDY,63,CO;NO2;PM10;PM2.5;SO2;eBC,11221,1268,1570,0.0975384615384615,3,31.919933366695687
110011000000004522,KENNEDY,63,CO;NO2;O3;PM10;PM2.5;SO2;eBC,18434,2520,2016,0.1008666666666667,2,31.917005750244115
110011000000002418,CIUDAD BOLIVAR,53,CO;NO2;PM10;PM2.5;SO2;eBC,18272,3025,1692,0.2278651685393259,1,31.9082733574057
110011000000004516,KENNEDY,61,CO;NO2;O3;PM10;PM2.5;SO2;eBC,20149,3032,1628,0.1336296296296296,2,31.878043685652997
110011000000004409,KENNEDY,64,CO;NO2;PM10;PM2.5;SO2;eBC,7598,731,1306,0.0695918367346938,3,31.709208115991853
