localidad,total_HH_sector_years,max_pop_HH,max_children,max_older,avg_IPM_HH,pollutants_count
KENNEDY,3615,75295941,9602159,8906145,0.10304476418681661,7
CIUDAD BOLIVAR,1676,24135940,3508589,2439438,0.1466508146525551,7
PUENTE ARANDA,1096,6642901,645495,1129905,0.07017713015843331,7
FONTIBON,792,11434693,1326021,1380651,0.11267252528331638,7
SUBA,751,15449710,1707128,2146467,0.08771952580568977,7
ENGATIVA,572,8304449,867477,1216388,0.08836219762502008,7
RAFAEL URIBE URIBE,562,5651135,699148,789651,0.09718187777044036,6
CHAPINERO,502,2112644,164241,370862,0.0651405397991452,5
BOSA,499,22395312,3284263,2040549,0.12687705166430527,7
USAQUEN,422,4677568,459665,833417,0.0615609261609179,3
BARRIOS UNIDOS,295,1070730,100259,188946,0.059381682432815885,5
TEUSAQUILLO,204,842405,56544,188498,0.03531835373584388,4
TUNJUELITO,194,2568418,315814,346993,0.10598489730268008,6
SANTA FE,182,533971,46574,75051,0.11591684366721378,4
SAN CRISTOBAL,153,1654049,207906,215082,0.11039799550439776,3
LOS MARTIRES,151,582592,56555,102634,0.07050514879049201,5
USME,140,1756541,267239,172839,0.18663574370332603,3
ANTONIO NARIÑO,37,94503,10024,16237,0.07899171597633133,5
