localidad,pollutant,persistencia,n_sectores
ANTONIO NARIÑO,CO,Baja,2
ANTONIO NARIÑO,NO2,Baja,1
ANTONIO NARIÑO,NO2,Media,2
ANTONIO NARIÑO,PM10,Baja,2
ANTONIO NARIÑO,PM2.5,Baja,2
ANTONIO NARIÑO,SO2,Baja,2
BARRIOS UNIDOS,CO,Baja,13
BARRIOS UNIDOS,NO2,Baja,25
BARRIOS UNIDOS,O3,Media,25
BARRIOS UNIDOS,PM2.5,Baja,8
BARRIOS UNIDOS,eBC,Baja,1
BOSA,CO,Alta,1
BOSA,CO,Baja,2
BOSA,CO,Media,6
BOSA,NO2,Baja,6
BOSA,NO2,Media,4
BOSA,O3,Baja,8
BOSA,PM10,Alta,8
BOSA,PM10,Media,2
BOSA,PM2.5,Alta,5
BOSA,PM2.5,Media,5
BOSA,SO2,Alta,5
BOSA,SO2,Baja,2
BOSA,SO2,Media,3
BOSA,eBC,Alta,3
BOSA,eBC,Baja,2
BOSA,eBC,Media,5
CHAPINERO,CO,Baja,35
CHAPINERO,CO,Media,6
CHAPINERO,NO2,Baja,23
CHAPINERO,O3,Baja,10
CHAPINERO,O3,Media,32
CHAPINERO,PM10,Baja,7
CHAPINERO,PM2.5,Baja,11
CIUDAD BOLIVAR,CO,Alta,7
CIUDAD BOLIVAR,CO,Baja,15
CIUDAD BOLIVAR,CO,Media,21
CIUDAD BOLIVAR,NO2,Baja,30
CIUDAD BOLIVAR,NO2,Media,8
CIUDAD BOLIVAR,O3,Baja,1
CIUDAD BOLIVAR,PM10,Alta,24
CIUDAD BOLIVAR,PM10,Baja,15
CIUDAD BOLIVAR,PM10,Media,4
CIUDAD BOLIVAR,PM2.5,Alta,10
CIUDAD BOLIVAR,PM2.5,Baja,11
CIUDAD BOLIVAR,PM2.5,Media,13
CIUDAD BOLIVAR,SO2,Alta,23
CIUDAD BOLIVAR,SO2,Baja,6
CIUDAD BOLIVAR,SO2,Media,20
CIUDAD BOLIVAR,eBC,Baja,4
CIUDAD BOLIVAR,eBC,Media,34
ENGATIVA,CO,Baja,7
ENGATIVA,NO2,Baja,43
ENGATIVA,NO2,Media,9
ENGATIVA,O3,Baja,24
ENGATIVA,O3,Media,27
ENGATIVA,PM10,Baja,2
ENGATIVA,PM2.5,Baja,4
ENGATIVA,SO2,Baja,18
ENGATIVA,eBC,Alta,1
ENGATIVA,eBC,Baja,32
ENGATIVA,eBC,Media,7
FONTIBON,CO,Baja,15
FONTIBON,CO,Media,1
FONTIBON,NO2,Alta,4
FONTIBON,NO2,Baja,8
FONTIBON,NO2,Media,18
FONTIBON,O3,Baja,24
FONTIBON,PM10,Alta,4
FONTIBON,PM10,Baja,20
FONTIBON,PM10,Media,5
FONTIBON,PM2.5,Alta,2
FONTIBON,PM2.5,Baja,19
FONTIBON,PM2.5,Media,9
FONTIBON,SO2,Baja,27
FONTIBON,eBC,Alta,17
FONTIBON,eBC,Baja,5
FONTIBON,eBC,Media,6
KENNEDY,CO,Alta,22
KENNEDY,CO,Baja,14
KENNEDY,CO,Media,25
KENNEDY,NO2,Alta,40
KENNEDY,NO2,Media,21
