localidad,contaminante,anos_disponibles,sectores_totales_localidad,ocurrencias_HH,tasa_HH
ANTONIO NARIÑO,CO,15,3,10,0.2222
ANTONIO NARIÑO,NO2,13,3,13,0.3333
ANTONIO NARIÑO,O3,15,3,0,0.0
ANTONIO NARIÑO,PM10,15,3,2,0.0444
ANTONIO NARIÑO,PM2.5,15,3,6,0.1333
ANTONIO NARIÑO,SO2,13,3,6,0.1538
ANTONIO NARIÑO,eBC,3,3,0,0.0
BARRIOS UNIDOS,CO,15,25,23,0.0613
BARRIOS UNIDOS,NO2,13,25,31,0.0954
BARRIOS UNIDOS,O3,15,25,225,0.6
BARRIOS UNIDOS,PM10,15,25,0,0.0
BARRIOS UNIDOS,PM2.5,15,25,15,0.04
BARRIOS UNIDOS,SO2,13,25,0,0.0
BARRIOS UNIDOS,eBC,3,25,1,0.0133
BOSA,CO,15,10,70,0.4667
BOSA,NO2,13,10,52,0.4
BOSA,O3,15,10,21,0.14
BOSA,PM10,15,10,136,0.9067
BOSA,PM2.5,15,10,114,0.76
BOSA,SO2,13,10,85,0.6538
BOSA,eBC,3,10,21,0.7
CHAPINERO,CO,15,45,132,0.1956
CHAPINERO,NO2,13,45,25,0.0427
CHAPINERO,O3,15,45,316,0.4681
CHAPINERO,PM10,15,45,8,0.0119
CHAPINERO,PM2.5,15,45,21,0.0311
CHAPINERO,SO2,13,45,0,0.0
CHAPINERO,eBC,3,45,0,0.0
CIUDAD BOLIVAR,CO,15,52,325,0.4167
CIUDAD BOLIVAR,NO2,13,52,144,0.213
CIUDAD BOLIVAR,O3,15,52,1,0.0013
CIUDAD BOLIVAR,PM10,15,52,423,0.5423
CIUDAD BOLIVAR,PM2.5,15,52,289,0.3705
CIUDAD BOLIVAR,SO2,13,52,422,0.6243
CIUDAD BOLIVAR,eBC,3,52,72,0.4615
ENGATIVA,CO,15,52,12,0.0154
ENGATIVA,NO2,13,52,168,0.2485
ENGATIVA,O3,15,52,293,0.3756
ENGATIVA,PM10,15,52,3,0.0038
ENGATIVA,PM2.5,15,52,9,0.0115
ENGATIVA,SO2,13,52,38,0.0562
ENGATIVA,eBC,3,52,49,0.3141
FONTIBON,CO,15,30,43,0.0956
FONTIBON,NO2,13,30,205,0.5256
FONTIBON,O3,15,30,88,0.1956
FONTIBON,PM10,15,30,154,0.3422
FONTIBON,PM2.5,15,30,161,0.3578
FONTIBON,SO2,13,30,73,0.1872
FONTIBON,eBC,3,30,68,0.7556
KENNEDY,CO,15,61,559,0.6109
KENNEDY,NO2,13,61,627,0.7907
KENNEDY,O3,15,61,131,0.1432
KENNEDY,PM10,15,61,886,0.9683
KENNEDY,PM2.5,15,61,844,0.9224
KENNEDY,SO2,13,61,416,0.5246
KENNEDY,eBC,3,61,152,0.8306
LOS MARTIRES,CO,15,19,38,0.1333
LOS MARTIRES,NO2,13,19,72,0.2915
