localidad,contaminante,sectores_totales_localidad,sectores_HH_persistentes,proporcion_persistente,criterio_usado
ANTONIO NARIÑO,CO,3,0,0.0,HH_years >= 10 (de 15 disponibles)
ANTONIO NARIÑO,NO2,3,0,0.0,HH_years >= 10 (de 13 disponibles)
ANTONIO NARIÑO,O3,3,0,0.0,HH_years >= 10 (de 15 disponibles)
ANTONIO NARIÑO,PM10,3,0,0.0,HH_years >= 10 (de 15 disponibles)
ANTONIO NARIÑO,PM2.5,3,0,0.0,HH_years >= 10 (de 15 disponibles)
ANTONIO NARIÑO,SO2,3,0,0.0,HH_years >= 10 (de 13 disponibles)
ANTONIO NARIÑO,eBC,3,0,0.0,HH_years >= 2 (de 3 disponibles)
BARRIOS UNIDOS,CO,25,0,0.0,HH_years >= 10 (de 15 disponibles)
BARRIOS UNIDOS,NO2,25,0,0.0,HH_years >= 10 (de 13 disponibles)
BARRIOS UNIDOS,O3,25,9,0.36,HH_years >= 10 (de 15 disponibles)
BARRIOS UNIDOS,PM10,25,0,0.0,HH_years >= 10 (de 15 disponibles)
BARRIOS UNIDOS,PM2.5,25,0,0.0,HH_years >= 10 (de 15 disponibles)
BARRIOS UNIDOS,SO2,25,0,0.0,HH_years >= 10 (de 13 disponibles)
BARRIOS UNIDOS,eBC,25,0,0.0,HH_years >= 2 (de 3 disponibles)
BOSA,CO,10,2,0.2,HH_years >= 10 (de 15 disponibles)
BOSA,NO2,10,0,0.0,HH_years >= 10 (de 13 disponibles)
BOSA,O3,10,0,0.0,HH_years >= 10 (de 15 disponibles)
BOSA,PM10,10,9,0.9,HH_years >= 10 (de 15 disponibles)
BOSA,PM2.5,10,8,0.8,HH_years >= 10 (de 15 disponibles)
BOSA,SO2,10,5,0.5,HH_years >= 10 (de 13 disponibles)
BOSA,eBC,10,8,0.8,HH_years >= 2 (de 3 disponibles)
CHAPINERO,CO,45,0,0.0,HH_years >= 10 (de 15 disponibles)
CHAPINERO,NO2,45,0,0.0,HH_years >= 10 (de 13 disponibles)
CHAPINERO,O3,45,2,0.0444,HH_years >= 10 (de 15 disponibles)
CHAPINERO,PM10,45,0,0.0,HH_years >= 10 (de 15 disponibles)
CHAPINERO,PM2.5,45,0,0.0,HH_years >= 10 (de 15 disponibles)
CHAPINERO,SO2,45,0,0.0,HH_years >= 10 (de 13 disponibles)
CHAPINERO,eBC,45,0,0.0,HH_years >= 2 (de 3 disponibles)
CIUDAD BOLIVAR,CO,52,17,0.3269,HH_years >= 10 (de 15 disponibles)
CIUDAD BOLIVAR,NO2,52,0,0.0,HH_years >= 10 (de 13 disponibles)
CIUDAD BOLIVAR,O3,52,0,0.0,HH_years >= 10 (de 15 disponibles)
CIUDAD BOLIVAR,PM10,52,25,0.4808,HH_years >= 10 (de 15 disponibles)
CIUDAD BOLIVAR,PM2.5,52,16,0.3077,HH_years >= 10 (de 15 disponibles)
CIUDAD BOLIVAR,SO2,52,23,0.4423,HH_years >= 10 (de 13 disponibles)
CIUDAD BOLIVAR,eBC,52,34,0.6538,HH_years >= 2 (de 3 disponibles)
ENGATIVA,CO,52,0,0.0,HH_years >= 10 (de 15 disponibles)
ENGATIVA,NO2,52,0,0.0,HH_years >= 10 (de 13 disponibles)
ENGATIVA,O3,52,2,0.0385,HH_years >= 10 (de 15 disponibles)
ENGATIVA,PM10,52,0,0.0,HH_years >= 10 (de 15 disponibles)
ENGATIVA,PM2.5,52,0,0.0,HH_years >= 10 (de 15 disponibles)
ENGATIVA,SO2,52,0,0.0,HH_years >= 10 (de 13 disponibles)
ENGATIVA,eBC,52,8,0.1538,HH_years >= 2 (de 3 disponibles)
FONTIBON,CO,30,0,0.0,HH_years >= 10 (de 15 disponibles)
FONTIBON,NO2,30,4,0.1333,HH_years >= 10 (de 13 disponibles)
FONTIBON,O3,30,0,0.0,HH_years >= 10 (de 15 disponibles)
FONTIBON,PM10,30,6,0.2,HH_years >= 10 (de 15 disponibles)
FONTIBON,PM2.5,30,6,0.2,HH_years >= 10 (de 15 disponibles)
FONTIBON,SO2,30,0,0.0,HH_years >= 10 (de 13 disponibles)
FONTIBON,eBC,30,23,0.7667,HH_years >= 2 (de 3 disponibles)
KENNEDY,CO,61,27,0.4426,HH_years >= 10 (de 15 disponibles)
KENNEDY,NO2,61,40,0.6557,HH_years >= 10 (de 13 disponibles)
KENNEDY,O3,61,0,0.0,HH_years >= 10 (de 15 disponibles)
KENNEDY,PM10,61,59,0.9672,HH_years >= 10 (de 15 disponibles)
KENNEDY,PM2.5,61,59,0.9672,HH_years >= 10 (de 15 disponibles)
KENNEDY,SO2,61,15,0.2459,HH_years >= 10 (de 13 disponibles)
KENNEDY,eBC,61,51,0.8361,HH_years >= 2 (de 3 disponibles)
LOS MARTIRES,CO,19,0,0.0,HH_years >= 10 (de 15 disponibles)
LOS MARTIRES,NO2,19,0,0.0,HH_years >= 10 (de 13 disponibles)
LOS MARTIRES,O3,19,0,0.0,HH_years >= 10 (de 15 disponibles)
LOS MARTIRES,PM10,19,0,0.0,HH_years >= 10 (de 15 disponibles)
LOS MARTIRES,PM2.5,19,0,0.0,HH_years >= 10 (de 15 disponibles)
LOS MARTIRES,SO2,19,0,0.0,HH_years >= 10 (de 13 disponibles)
LOS MARTIRES,eBC,19,0,0.0,HH_years >= 2 (de 3 disponibles)
PUENTE ARANDA,CO,40,9,0.225,HH_years >= 10 (de 15 disponibles)
PUENTE ARANDA,NO2,40,12,0.3,HH_years >= 10 (de 13 disponibles)
PUENTE ARANDA,O3,40,0,0.0,HH_years >= 10 (de 15 disponibles)
PUENTE ARANDA,PM10,40,9,0.225,HH_years >= 10 (de 15 disponibles)
PUENTE ARANDA,PM2.5,40,10,0.25,HH_years >= 10 (de 15 disponibles)
PUENTE ARANDA,SO2,40,0,0.0,HH_years >= 10 (de 13 disponibles)
PUENTE ARANDA,eBC,40,1,0.025,HH_years >= 2 (de 3 disponibles)
RAFAEL URIBE URIBE,CO,33,0,0.0,HH_years >= 10 (de 15 disponibles)
RAFAEL URIBE URIBE,NO2,33,0,0.0,HH_years >= 10 (de 13 disponibles)
RAFAEL URIBE URIBE,O3,33,0,0.0,HH_years >= 10 (de 15 disponibles)
RAFAEL URIBE URIBE,PM10,33,1,0.0303,HH_years >= 10 (de 15 disponibles)
RAFAEL URIBE URIBE,PM2.5,33,3,0.0909,HH_years >= 10 (de 15 disponibles)
RAFAEL URIBE URIBE,SO2,33,0,0.0,HH_years >= 10 (de 13 disponibles)
RAFAEL URIBE URIBE,eBC,33,5,0.1515,HH_years >= 2 (de 3 disponibles)
SAN CRISTOBAL,CO,58,0,0.0,HH_years >= 10 (de 15 disponibles)
SAN CRISTOBAL,NO2,58,0,0.0,HH_years >= 10 (de 13 disponibles)
SAN CRISTOBAL,O3,58,0,0.0,HH_years >= 10 (de 15 disponibles)
SAN CRISTOBAL,PM10,58,0,0.0,HH_years >= 10 (de 15 disponibles)
SAN CRISTOBAL,PM2.5,58,0,0.0,HH_years >= 10 (de 15 disponibles)
SAN CRISTOBAL,SO2,58,0,0.0,HH_years >= 10 (de 13 disponibles)
SAN CRISTOBAL,eBC,58,0,0.0,HH_years >= 2 (de 3 disponibles)
SANTA FE,CO,36,0,0.0,HH_years >= 10 (de 15 disponibles)
SANTA FE,NO2,36,0,0.0,HH_years >= 10 (de 13 disponibles)
SANTA FE,O3,36,0,0.0,HH_years >= 10 (de 15 disponibles)
SANTA FE,PM10,36,0,0.0,HH_years >= 10 (de 15 disponibles)
SANTA FE,PM2.5,36,0,0.0,HH_years >= 10 (de 15 disponibles)
SANTA FE,SO2,36,0,0.0,HH_years >= 10 (de 13 disponibles)
SANTA FE,eBC,36,0,0.0,HH_years >= 2 (de 3 disponibles)
SUBA,CO,70,0,0.0,HH_years >= 10 (de 15 disponibles)
SUBA,NO2,70,0,0.0,HH_years >= 10 (de 13 disponibles)
SUBA,O3,70,21,0.3,HH_years >= 10 (de 15 disponibles)
SUBA,PM10,70,0,0.0,HH_years >= 10 (de 15 disponibles)
SUBA,PM2.5,70,0,0.0,HH_years >= 10 (de 15 disponibles)
SUBA,SO2,70,0,0.0,HH_years >= 10 (de 13 disponibles)
SUBA,eBC,70,3,0.0429,HH_years >= 2 (de 3 disponibles)
SUMAPAZ,CO,5,0,0.0,HH_years >= 10 (de 15 disponibles)
SUMAPAZ,NO2,5,0,0.0,HH_years >= 10 (de 13 disponibles)
SUMAPAZ,O3,5,0,0.0,HH_years >= 10 (de 15 disponibles)
SUMAPAZ,PM10,5,0,0.0,HH_years >= 10 (de 15 disponibles)
SUMAPAZ,PM2.5,5,0,0.0,HH_years >= 10 (de 15 disponibles)
SUMAPAZ,SO2,5,0,0.0,HH_years >= 10 (de 13 disponibles)
SUMAPAZ,eBC,5,0,0.0,HH_years >= 2 (de 3 disponibles)
TEUSAQUILLO,CO,20,0,0.0,HH_years >= 10 (de 15 disponibles)
TEUSAQUILLO,NO2,20,0,0.0,HH_years >= 10 (de 13 disponibles)
TEUSAQUILLO,O3,20,0,0.0,HH_years >= 10 (de 15 disponibles)
TEUSAQUILLO,PM10,20,0,0.0,HH_years >= 10 (de 15 disponibles)
TEUSAQUILLO,PM2.5,20,0,0.0,HH_years >= 10 (de 15 disponibles)
TEUSAQUILLO,SO2,20,0,0.0,HH_years >= 10 (de 13 disponibles)
TEUSAQUILLO,eBC,20,0,0.0,HH_years >= 2 (de 3 disponibles)
TUNJUELITO,CO,4,3,0.75,HH_years >= 10 (de 15 disponibles)
