localidad,contaminante,poblacion_total_localidad,sectores_HH_en_2018,poblacion_en_sectores_HH,porcentaje_poblacion_en_HH,ninos_0_9_en_HH,adultos_60mas_en_HH,IPM_promedio_HH
ANTONIO NARIÑO,CO,6613,2,5170,78.2,551,888,0.078
ANTONIO NARIÑO,NO2,6613,2,5170,78.2,551,888,0.078
ANTONIO NARIÑO,O3,6613,0,0,0.0,0,0,0.0
ANTONIO NARIÑO,PM10,6613,0,0,0.0,0,0,0.0
ANTONIO NARIÑO,PM2.5,6613,2,5170,78.2,551,888,0.078
ANTONIO NARIÑO,SO2,6613,0,0,0.0,0,0,0.0
ANTONIO NARIÑO,eBC,6613,0,0,0.0,0,0,0.0
BARRIOS UNIDOS,CO,91821,0,0,0.0,0,0,0.0
BARRIOS UNIDOS,NO2,91821,0,0,0.0,0,0,0.0
BARRIOS UNIDOS,O3,91821,0,0,0.0,0,0,0.0
BARRIOS UNIDOS,PM10,91821,0,0,0.0,0,0,0.0
BARRIOS UNIDOS,PM2.5,91821,0,0,0.0,0,0,0.0
BARRIOS UNIDOS,SO2,91821,0,0,0.0,0,0,0.0
BARRIOS UNIDOS,eBC,91821,0,0,0.0,0,0,0.0
BOSA,CO,455814,1,44663,9.8,6200,4361,0.1262
BOSA,NO2,455814,6,199085,43.7,28180,21547,0.1163
BOSA,O3,455814,0,0,0.0,0,0,0.0
BOSA,PM10,455814,9,381311,83.7,56405,35027,0.1298
BOSA,PM2.5,455814,5,149585,32.8,21381,16180,0.116
BOSA,SO2,455814,10,455814,100.0,65933,40135,0.1259
BOSA,eBC,455814,0,0,0.0,0,0,0.0
CHAPINERO,CO,186068,0,0,0.0,0,0,0.0
CHAPINERO,NO2,186068,0,0,0.0,0,0,0.0
CHAPINERO,O3,186068,0,0,0.0,0,0,0.0
CHAPINERO,PM10,186068,0,0,0.0,0,0,0.0
CHAPINERO,PM2.5,186068,0,0,0.0,0,0,0.0
CHAPINERO,SO2,186068,0,0,0.0,0,0,0.0
CHAPINERO,eBC,186068,0,0,0.0,0,0,0.0
CIUDAD BOLIVAR,CO,602195,43,556910,92.5,83480,56164,0.1627
CIUDAD BOLIVAR,NO2,602195,38,524746,87.1,78574,52625,0.1601
CIUDAD BOLIVAR,O3,602195,0,0,0.0,0,0,0.0
