localidad,n_sectores,poblacion_total,tasa_HH_primarios_media,tasa_HH_O3,prop_sectores_persistentes_media,contaminante_mayor_persistencia,max_prop_persistente,pct_pop_en_HH_primarios_medio,pop_en_HH_PM25_2018,pct_pop_en_HH_PM25,ninos_0_9_en_HH_PM25,adultos_60mas_en_HH_PM25,IPM_promedio_HH_PM25,score_tasa,score_persist,score_pct_pop,score_ipm,score_vulnerable,score_compuesto,rango_primarios,rango_O3
KENNEDY,61,1244606,0.7634,0.1432,0.6557,PM10,0.9672,77.2,1091379,87.7,140295,131281,0.0937,1.0,1.0,0.8058455114822548,0.7636511817440913,1.0,0.9257,1,8
TUNJUELITO,4,44579,0.6472,0.0,0.5,CO,0.75,95.8,44558,100.0,5492,6013,0.1069,0.8477862195441447,0.7625438462711607,1.0,0.8712306438467807,0.04236383185553952,0.7799,2,14
BOSA,10,455814,0.6374,0.14,0.48,PM10,0.9,54.0,149585,32.8,21381,16180,0.116,0.834948912758711,0.7320420924203141,0.5636743215031316,0.9453952730236349,0.138307508763661,0.7019,3,9
CIUDAD BOLIVAR,52,602195,0.4334,0.0013,0.3115,PM10,0.4808,70.0,214025,35.5,29163,20912,0.1227,0.5677233429394813,0.4750648162269331,0.7306889352818372,1.0,0.18438669101835214,0.6037,4,13
PUENTE ARANDA,40,209115,0.3792,0.005,0.2,NO2,0.3,51.2,194117,92.8,18818,33131,0.0742,0.4967251768404506,0.3050175385084643,0.5344467640918581,0.6047269763651182,0.1912871535039915,0.442,5,12
FONTIBON,30,378171,0.3017,0.1956,0.1067,PM10,0.2,9.8,36564,9.7,4012,5100,0.1072,0.3952056588944198,0.16272685679426568,0.10229645093945722,0.8736756316218419,0.033552302118007485,0.3141,6,7
RAFAEL URIBE URIBE,33,328042,0.2347,0.0,0.0242,PM2.5,0.0909,41.8,107724,32.8,12210,16879,0.0843,0.3074403982184962,0.03690712215952417,0.4363256784968685,0.687041564792176,0.107111821368604,0.3025,7,15
ANTONIO NARIÑO,3,6613,0.1774,0.0,0.0,-,0.0,46.9,5170,78.2,551,888,0.078,0.23238145140162433,0.0,0.48956158663883087,0.6356968215158924,0.005298700916133973,0.2635,8,17
LOS MARTIRES,19,70865,0.1089,0.0246,0.0,-,0.0,13.8,28539,40.3,2742,5022,0.0563,0.14265129682997119,0.0,0.14405010438413363,0.4588427057864711,0.028588682357793032,0.1433,9,11
SAN CRISTOBAL,58,432523,0.04,0.0,0.0,-,0.0,7.5,0,0.0,0,0,0.0,0.052397170552790154,0.0,0.07828810020876827,0.0,0.0,0.0314,10,16
TEUSAQUILLO,20,79809,0.0768,0.3233,0.0,-,0.0,0.0,0,0.0,0,0,0.0,0.10060256746135708,0.0,0.0,0.0,0.0,0.0302,11,6
ENGATIVA,52,733495,0.0671,0.3756,0.0,-,0.0,0.0,0,0.0,0,0,0.0,0.08789625360230549,0.0,0.0,0.0,0.0,0.0264,12,5
USME,36,387888,0.0593,0.0,0.0,-,0.0,1.1,0,0.0,0,0,0.0,0.0776788053445114,0.0,0.011482254697286014,0.0,0.0,0.0256,13,18
CHAPINERO,45,186068,0.0563,0.4681,0.0,-,0.0,0.0,0,0.0,0,0,0.0,0.07374901755305215,0.0,0.0,0.0,0.0,0.0221,14,4
SANTA FE,36,117796,0.0552,0.0741,0.0,-,0.0,0.0,0,0.0,0,0,0.0,0.0723080953628504,0.0,0.0,0.0,0.0,0.0217,15,10
SUBA,70,1303309,0.0321,0.5629,0.0,-,0.0,1.5,0,0.0,0,0,0.0,0.04204872936861409,0.0,0.015657620041753653,0.0,0.0,0.0157,16,3
BARRIOS UNIDOS,25,91821,0.0393,0.6,0.0,-,0.0,0.0,0,0.0,0,0,0.0,0.051480220068116325,0.0,0.0,0.0,0.0,0.0154,17,2
USAQUEN,42,463822,0.0138,0.6079,0.0,-,0.0,0.0,0,0.0,0,0,0.0,0.0180770238407126,0.0,0.0,0.0,0.0,0.0054,18,1
SUMAPAZ,5,381,0.0,0.0,0.0,-,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,19
