contaminante,año,quintil_IPM,n_sectores_en_LISA,n_sectores_HH,tasa_HH,ratio_vs_Q1
CO,2010,Q1,128,4,0.0312,1.0
CO,2010,Q2,128,11,0.0859,2.753
CO,2010,Q3,126,24,0.1905,6.106
CO,2010,Q4,125,23,0.184,5.897
CO,2010,Q5,118,13,0.1102,3.532
CO,2011,Q1,128,17,0.1328,1.0
CO,2011,Q2,128,20,0.1562,1.176
CO,2011,Q3,126,32,0.254,1.913
CO,2011,Q4,125,30,0.24,1.807
CO,2011,Q5,118,16,0.1356,1.021
CO,2012,Q1,128,15,0.1172,1.0
CO,2012,Q2,128,21,0.1641,1.4
CO,2012,Q3,126,35,0.2778,2.37
CO,2012,Q4,125,35,0.28,2.389
CO,2012,Q5,118,25,0.2119,1.808
CO,2013,Q1,128,13,0.1016,1.0
CO,2013,Q2,128,20,0.1562,1.537
CO,2013,Q3,126,44,0.3492,3.437
CO,2013,Q4,125,38,0.304,2.992
CO,2013,Q5,118,31,0.2627,2.586
CO,2014,Q1,128,11,0.0859,1.0
CO,2014,Q2,128,19,0.1484,1.728
CO,2014,Q3,126,29,0.2302,2.68
CO,2014,Q4,125,29,0.232,2.701
CO,2014,Q5,118,17,0.1441,1.678
CO,2015,Q1,128,30,0.2344,1.0
CO,2015,Q2,128,32,0.25,1.067
CO,2015,Q3,126,24,0.1905,0.813
CO,2015,Q4,125,22,0.176,0.751
CO,2015,Q5,118,8,0.0678,0.289
CO,2016,Q1,128,33,0.2578,1.0
CO,2016,Q2,128,25,0.1953,0.758
CO,2016,Q3,126,12,0.0952,0.369
CO,2016,Q4,125,14,0.112,0.434
CO,2016,Q5,118,10,0.0847,0.329
CO,2017,Q1,128,22,0.1719,1.0
CO,2017,Q2,128,24,0.1875,1.091
CO,2017,Q3,126,25,0.1984,1.154
CO,2017,Q4,125,25,0.2,1.163
CO,2017,Q5,118,13,0.1102,0.641
CO,2018,Q1,128,14,0.1094,1.0
CO,2018,Q2,128,20,0.1562,1.428
CO,2018,Q3,126,37,0.2937,2.685
CO,2018,Q4,125,32,0.256,2.34
CO,2018,Q5,118,26,0.2203,2.014
CO,2019,Q1,128,30,0.2344,1.0
CO,2019,Q2,128,34,0.2656,1.133
CO,2019,Q3,126,37,0.2937,1.253
CO,2019,Q4,125,24,0.192,0.819
CO,2019,Q5,118,17,0.1441,0.615
CO,2020,Q1,128,15,0.1172,1.0
CO,2020,Q2,128,18,0.1406,1.2
CO,2020,Q3,126,40,0.3175,2.709
CO,2020,Q4,125,30,0.24,2.048
CO,2020,Q5,118,20,0.1695,1.446
CO,2021,Q1,128,15,0.1172,1.0
CO,2021,Q2,128,19,0.1484,1.266
CO,2021,Q3,126,35,0.2778,2.37
CO,2021,Q4,125,24,0.192,1.638
CO,2021,Q5,118,6,0.0508,0.433
CO,2022,Q1,128,31,0.2422,1.0
CO,2022,Q2,128,35,0.2734,1.129
CO,2022,Q3,126,44,0.3492,1.442
CO,2022,Q4,125,29,0.232,0.958
CO,2022,Q5,118,17,0.1441,0.595
CO,2023,Q1,128,21,0.1641,1.0
CO,2023,Q2,128,28,0.2188,1.333
CO,2023,Q3,126,41,0.3254,1.983
CO,2023,Q4,125,31,0.248,1.511
CO,2023,Q5,118,13,0.1102,0.672
CO,2024,Q1,128,20,0.1562,1.0
CO,2024,Q2,128,31,0.2422,1.551
CO,2024,Q3,126,35,0.2778,1.778
CO,2024,Q4,125,24,0.192,1.229
CO,2024,Q5,118,20,0.1695,1.085
NO2,2010,Q1,128,44,0.3438,1.0
NO2,2010,Q2,128,42,0.3281,0.954
NO2,2010,Q3,126,51,0.4048,1.177
NO2,2010,Q4,125,27,0.216,0.628
NO2,2010,Q5,118,17,0.1441,0.419
NO2,2013,Q1,128,26,0.2031,1.0
NO2,2013,Q2,128,31,0.2422,1.193
NO2,2013,Q3,126,43,0.3413,1.68
NO2,2013,Q4,125,24,0.192,0.945
NO2,2013,Q5,118,16,0.1356,0.668
NO2,2014,Q1,128,36,0.2812,1.0
NO2,2014,Q2,128,35,0.2734,0.972
NO2,2014,Q3,126,38,0.3016,1.073
NO2,2014,Q4,125,16,0.128,0.455
NO2,2014,Q5,118,15,0.1271,0.452
