contaminante,quintil_IPM,tasa_HH_media,ratio_medio_vs_Q1
CO,Q1,0.1516,1.0
CO,Q2,0.1859,1.37
CO,Q3,0.2614,2.204
CO,Q4,0.2187,1.912
CO,Q5,0.1424,1.25
NO2,Q1,0.2121,1.0
NO2,Q2,0.277,1.381
NO2,Q3,0.3285,1.718
NO2,Q4,0.2363,1.298
NO2,Q5,0.1584,0.841
O3,Q1,0.3797,1.0
O3,Q2,0.3245,0.937
O3,Q3,0.227,0.856
O3,Q4,0.1584,0.678
O3,Q5,0.0667,0.34
PM10,Q1,0.1089,1.0
PM10,Q2,0.1734,1.623
PM10,Q3,0.272,2.561
PM10,Q4,0.2747,2.587
PM10,Q5,0.1876,1.755
PM2.5,Q1,0.1313,1.0
PM2.5,Q2,0.1891,1.498
PM2.5,Q3,0.2915,2.313
PM2.5,Q4,0.2501,2.093
PM2.5,Q5,0.1576,1.319
SO2,Q1,0.0818,1.0
SO2,Q2,0.113,1.526
SO2,Q3,0.2393,3.48
SO2,Q4,0.3034,5.181
SO2,Q5,0.2731,5.017
eBC,Q1,0.1068,1.0
eBC,Q2,0.2239,2.175
eBC,Q3,0.2857,2.951
eBC,Q4,0.2987,3.225
eBC,Q5,0.2034,2.267
